ticket,pclass,fare,cabin
24160,1,211.3375,B5
113781,1,151.55,C22 C26
113781,1,151.55,C22 C26
113781,1,151.55,C22 C26
113781,1,151.55,C22 C26
19952,1,26.55,E12
13502,1,77.9583,D7
112050,1,0.0,A36
11769,1,51.4792,C101
PC 17609,1,49.5042,
PC 17757,1,227.525,C62 C64
PC 17757,1,227.525,C62 C64
PC 17477,1,69.3,B35
19877,1,78.85,
27042,1,30.0,A23
PC 17318,1,25.925,
PC 17558,1,247.5208,B58 B60
PC 17558,1,247.5208,B58 B60
11813,1,76.2917,D15
13050,1,75.2417,C6
11751,1,52.5542,D35
11751,1,52.5542,D35
111369,1,30.0,C148
PC 17757,1,227.525,
PC 17483,1,221.7792,C97
13905,1,26.0,
11967,1,91.0792,B49
11967,1,91.0792,B49
PC 17760,1,135.6333,C99
110564,1,26.55,C52
113784,1,35.5,T
112277,1,31.0,A31
36928,1,164.8667,C7
113783,1,26.55,C103
110489,1,26.55,D22
PC 17608,1,262.375,
113505,1,55.0,E33
111427,1,26.55,
113054,1,30.5,A21
PC 17591,1,50.4958,B10
112379,1,39.6,
PC 17610,1,27.7208,B4
11769,1,51.4792,C101
11813,1,76.2917,D15
16966,1,134.5,E40
113050,1,26.55,B38
113798,1,31.0,
PC 17476,1,26.2875,E24
PC 17606,1,27.4458,
PC 17755,1,512.3292,B51 B53 B55
PC 17755,1,512.3292,B51 B53 B55
695,1,5.0,B51 B53 B55
113059,1,47.1,
113059,1,47.1,
113760,1,120.0,B96 B98
113760,1,120.0,B96 B98
113760,1,120.0,B96 B98
113760,1,120.0,B96 B98
19924,1,26.0,
17770,1,27.7208,
19877,1,78.85,C46
19877,1,78.85,C46
W.E.P. 5734,1,61.175,E31
W.E.P. 5734,1,61.175,E31
113806,1,53.1,E8
113806,1,53.1,E8
PC 17608,1,262.375,B61
110152,1,86.5,B77
PC 17594,1,29.7,A9
113505,1,55.0,E33
112051,1,0.0,
13508,1,136.7792,C89
13508,1,136.7792,C89
113781,1,151.55,
110465,1,52.0,A14
5727,1,25.5875,E58
PC 17756,1,83.1583,E49
PC 17756,1,83.1583,E52
PC 17756,1,83.1583,E45
11770,1,25.7,C101
113791,1,26.55,
WE/P 5735,1,71.0,B22
WE/P 5735,1,71.0,B22
112901,1,26.55,B26
PC 17599,1,71.2833,C85
PC 17599,1,71.2833,C85
113055,1,26.55,E17
113804,1,30.5,
113781,1,151.55,
F.C. 12750,1,52.0,B71
F.C. 12750,1,52.0,B71
17474,1,57.0,B20
17474,1,57.0,B20
33638,1,81.8583,A34
33638,1,81.8583,A34
33638,1,81.8583,A34
PC 17761,1,106.425,C86
PC 17558,1,247.5208,B58 B60
PC 17761,1,106.425,C86
11755,1,39.6,A16
PC 17485,1,56.9292,A20
PC 17580,1,29.7,A18
11767,1,83.1583,C54
PC 17757,1,227.525,C45
36947,1,78.2667,D20
PC 17531,1,31.6792,A29
PC 17483,1,221.7792,C95
PC 17598,1,31.6833,
17421,1,110.8833,
PC 17474,1,26.3875,E25
113051,1,27.75,C111
19950,1,263.0,C23 C25 C27
19950,1,263.0,C23 C25 C27
19950,1,263.0,C23 C25 C27
19950,1,263.0,C23 C25 C27
19950,1,263.0,C23 C25 C27
19950,1,263.0,C23 C25 C27
PC 17485,1,56.9292,E36
113778,1,26.55,D34
PC 17611,1,133.65,
17765,1,27.7208,D40
PC 17611,1,133.65,
13568,1,49.5,B39
13567,1,79.2,B41
13567,1,79.2,B41
112058,1,0.0,B102
113803,1,53.1,C123
113803,1,53.1,C123
111320,1,38.5,E63
113503,1,211.5,C130
112378,1,59.4,
112378,1,59.4,
PC 17593,1,79.2,B86
17453,1,89.1042,C92
17453,1,89.1042,C92
PC 17754,1,34.6542,A5
113780,1,28.5,C51
112053,1,30.0,B42
PC 17582,1,153.4625,C91
PC 17582,1,153.4625,C125
PC 17759,1,63.3583,D10 D12
PC 17759,1,63.3583,D10 D12
PC 17593,1,79.2,B82 B84
11765,1,55.4417,E50
11765,1,55.4417,E50
PC 17572,1,76.7292,D33
PC 17572,1,76.7292,D33
113796,1,42.4,
36973,1,83.475,C83
36973,1,83.475,C83
112059,1,0.0,B94
PC 17572,1,76.7292,D49
16988,1,30.0,D45
11767,1,83.1583,C54
12749,1,93.5,B69
12749,1,93.5,B69
113038,1,42.5,B11
17463,1,51.8625,E46
680,1,50.0,C39
111361,1,57.9792,B18
111361,1,57.9792,B18
13502,1,77.9583,D11
113789,1,52.0,
113789,1,52.0,
111426,1,26.55,
19943,1,90.0,C93
PC 17600,1,30.6958,
19943,1,90.0,C93
113572,1,80.0,B28
PC 17595,1,28.7125,C49
112058,1,0.0,B52 B54 B56
694,1,26.0,
113044,1,26.0,E60
113503,1,211.5,C132
11771,1,29.7,B37
17464,1,51.8625,D21
17464,1,51.8625,D21
11753,1,52.5542,D19
11753,1,52.5542,D19
113028,1,26.55,C124
24160,1,211.3375,
17465,1,25.9292,D17
PC 17761,1,106.425,
PC 17755,1,512.3292,B101
PC 17612,1,27.7208,
17475,1,26.55,
112377,1,27.7208,
PC 17592,1,39.4,D28
PC 17592,1,39.4,D28
113501,1,30.0,D6
13502,1,77.9583,D9
113801,1,45.5,
PC 17569,1,146.5208,B80
24160,1,211.3375,B5
110469,1,26.0,C106
110152,1,86.5,B79
11774,1,29.7,C47
113773,1,53.1,D30
113773,1,53.1,D30
PC 17482,1,49.5042,C90
13050,1,75.2417,C6
17463,1,51.8625,E46
PC 17473,1,26.2875,E25
PC 17604,1,82.1708,
PC 17604,1,82.1708,
13509,1,26.55,E38
19928,1,90.0,C78
19928,1,90.0,C78
19928,1,90.0,C78
13236,1,57.75,C78
113787,1,30.5,C30
113796,1,42.4,
PC 17596,1,29.7,C118
35273,1,113.275,D36
35273,1,113.275,D36
35273,1,113.275,D48
11752,1,26.2833,D47
693,1,26.0,
PC 17758,1,108.9,C105
F.C. 12998,1,25.7417,
113509,1,61.9792,B36
113509,1,61.9792,B30
PC 17562,1,27.7208,D43
112052,1,0.0,
113043,1,28.5,C124
12749,1,93.5,B24
113776,1,66.6,C2
113776,1,66.6,C2
PC 17758,1,108.9,C65
PC 17758,1,108.9,C65
12749,1,93.5,B73
113786,1,30.5,C104
110465,1,52.0,C110
11767,1,83.1583,C50
19972,1,0.0,
PC 17607,1,39.6,
PC 17760,1,135.6333,
PC 17757,1,227.525,
24160,1,211.3375,B3
PC 17590,1,50.4958,A24
111428,1,26.55,
113767,1,50.0,A32
PC 17613,1,27.7208,A11
PC 17585,1,79.2,
13049,1,40.125,A10
110152,1,86.5,B77
PC 17603,1,59.4,
PC 17603,1,59.4,
113790,1,26.55,
PC 17608,1,262.375,B57 B59 B63 B66
PC 17608,1,262.375,B57 B59 B63 B66
PC 17608,1,262.375,B57 B59 B63 B66
PC 17608,1,262.375,B57 B59 B63 B66
PC 17608,1,262.375,B57 B59 B63 B66
19988,1,30.5,C106
PC 17477,1,69.3,B35
111163,1,26.0,
13236,1,57.75,C28
113798,1,31.0,
113794,1,26.55,
PC 17582,1,153.4625,C125
PC 17475,1,26.2875,E24
13507,1,55.9,E44
13507,1,55.9,E44
13213,1,35.5,A26
113788,1,35.5,A6
113792,1,26.55,
17764,1,30.6958,A7
13695,1,60.0,C31
113056,1,26.0,A19
13695,1,60.0,C31
21228,1,82.2667,B45
21228,1,82.2667,B45
16966,1,134.5,E34
16966,1,134.5,E34
16966,1,134.5,E34
PC 17569,1,146.5208,B78
PC 17569,1,146.5208,B78
13214,1,30.5,B50
113514,1,26.55,C87
11778,1,55.4417,C116
11778,1,55.4417,C116
36947,1,78.2667,D20
PC 17605,1,27.7208,
113572,1,80.0,B28
PC 17483,1,221.7792,C55 C57
PC 17483,1,221.7792,C55 C57
36963,1,32.3208,D50
17466,1,25.9292,D17
110413,1,79.65,E68
110413,1,79.65,E67
110413,1,79.65,E67
19996,1,52.0,C126
19996,1,52.0,C126
17421,1,110.8833,C68
17421,1,110.8833,C70
17421,1,110.8833,C68
PC 17585,1,79.2,
2543,1,28.5375,C53
PC 17601,1,27.7208,
111240,1,33.5,B19
36967,1,34.0208,D46
PC 17755,1,512.3292,
110813,1,75.25,D37
110813,1,75.25,D37
113800,1,26.55,
35281,1,77.2875,D26
35281,1,77.2875,D26
PC 17760,1,135.6333,C32
36928,1,164.8667,C7
36928,1,164.8667,
36928,1,164.8667,
113503,1,211.5,C80
113503,1,211.5,C82
113503,1,211.5,C80
113795,1,26.55,
PC 17597,1,61.3792,
PC 17597,1,61.3792,
113510,1,35.0,C128
16966,1,134.5,E39 E41
19947,1,35.5,C52
113807,1,26.55,
PC 17760,1,135.6333,C32
P/PP 3381,2,24.0,
P/PP 3381,2,24.0,
248744,2,13.0,
231945,2,11.5,
C.A. 34050,2,10.5,
226875,2,26.0,
226875,2,26.0,
244346,2,13.0,
29108,2,11.5,
C.A. 31030,2,10.5,
28551,2,13.0,D
C.A./SOTON 34068,2,10.5,
S.O.P. 1166,2,12.525,
2908,2,26.0,
2908,2,26.0,
244358,2,26.0,
230136,2,39.0,F4
230136,2,39.0,F4
230136,2,39.0,F4
230136,2,39.0,F4
248698,2,13.0,D56
28404,2,13.0,
28425,2,13.0,
237670,2,13.0,
211535,2,13.0,
220367,2,13.0,
248733,2,13.0,F33
29750,2,39.0,
29750,2,39.0,
29750,2,39.0,
236853,2,26.0,
236853,2,26.0,
27849,2,13.0,
234686,2,13.0,
244310,2,13.0,
236852,2,13.0,
248738,2,29.0,
248738,2,29.0,
248738,2,29.0,
F.C.C. 13528,2,21.0,
239853,2,0.0,
28424,2,13.0,
244252,2,26.0,
244252,2,26.0,
248731,2,13.5,
SC/AH 29037,2,26.0,
SC/AH 29037,2,26.0,
237789,2,30.0,
237789,2,30.0,
2003,2,26.0,
2003,2,26.0,
W./C. 14263,2,10.5,
248740,2,13.0,
28034,2,10.5,
C.A. 31921,2,26.25,
C.A. 31921,2,26.25,
C.A. 31921,2,26.25,
W./C. 14266,2,10.5,F33
237249,2,13.0,
F.C.C. 13534,2,21.0,
29107,2,11.5,
239853,2,0.0,
C.A. 33112,2,36.75,
S.O.C. 14879,2,73.5,
C.A. 33112,2,36.75,
237668,2,13.0,
244360,2,13.0,
S.O.C. 14879,2,73.5,
SC/PARIS 2167,2,27.7208,
SC/PARIS 2167,2,27.7208,
C.A. 31029,2,31.5,
S.O.C. 14879,2,73.5,
231919,2,23.0,
231919,2,23.0,
28403,2,26.0,
28220,2,32.5,
28220,2,32.5,
28220,2,32.5,
SC/PARIS 2149,2,13.8583,
SC/PARIS 2148,2,13.8583,
29751,2,13.0,
236854,2,13.0,
236171,2,13.0,
2926,2,26.0,
2926,2,26.0,
C.A. 15185,2,10.5,
229236,2,13.0,
239854,2,0.0,
237671,2,13.0,
239865,2,26.0,
28664,2,21.0,
28664,2,21.0,
243880,2,13.0,
239865,2,26.0,
31028,2,10.5,
C.A. 30769,2,10.5,
28133,2,11.5,
28134,2,11.5,
248726,2,13.5,
233866,2,13.0,
12233,2,13.0,
250646,2,13.0,
250647,2,13.0,
250653,2,13.0,
250649,2,14.5,
250649,2,14.5,
248746,2,13.0,
248727,2,33.0,
248727,2,33.0,
S.W./PP 752,2,10.5,
W/C 14208,2,10.5,
F.C.C. 13529,2,26.25,
F.C.C. 13529,2,26.25,
F.C.C. 13529,2,26.25,
220845,2,65.0,
220845,2,65.0,
220845,2,65.0,
220845,2,65.0,
248706,2,16.0,
S.O.C. 14879,2,73.5,
S.O.C. 14879,2,73.5,
S.O.C. 14879,2,73.5,
250650,2,13.0,
29105,2,23.0,
29104,2,11.5,
242963,2,13.0,
29105,2,23.0,
250643,2,13.0,
26707,2,26.0,
26707,2,26.0,
S.O.C. 14879,2,73.5,
237798,2,13.0,
24065,2,26.0,
24065,2,26.0,
SCO/W 1585,2,12.275,
SO/C 14885,2,10.5,
243847,2,27.0,
243847,2,27.0,
237565,2,15.0,
C.A. 31029,2,31.5,
C.A. 31029,2,31.5,
C.A. 33111,2,10.5,
SC/AH Basle 541,2,13.7917,D
244367,2,26.0,
244367,2,26.0,
F.C.C. 13534,2,21.0,
226593,2,12.35,E101
233734,2,12.35,
223596,2,13.5,
219533,2,12.35,
239855,2,0.0,
C.A. 18723,2,10.5,
250651,2,26.0,
250651,2,26.0,
240261,2,10.7083,
SC/Paris 2123,2,41.5792,
SC/Paris 2123,2,41.5792,
SC/Paris 2123,2,41.5792,
SC/Paris 2123,2,41.5792,
SC 1748,2,12.0,
248727,2,33.0,
C.A. 34260,2,10.5,F33
SC/Paris 2163,2,12.875,D
C.A. 29566,2,10.5,
235509,2,12.35,
SC/AH 3085,2,26.0,
SC/AH 3085,2,26.0,
S.O./P.P. 3,2,10.5,E77
237735,2,15.0458,D
S.C./PARIS 2079,2,37.0042,
S.C./PARIS 2079,2,37.0042,
S.C./PARIS 2079,2,37.0042,
SC/A.3 2861,2,15.5792,
28228,2,13.0,
239059,2,16.0,
237216,2,13.5,
233478,2,13.0,
28403,2,26.0,
250644,2,19.5,
250644,2,19.5,
SW/PP 751,2,10.5,
248723,2,13.0,
234360,2,13.0,
C.A. 24580,2,10.5,
211536,2,13.0,
29011,2,14.0,
250655,2,26.0,
S.O./P.P. 3,2,10.5,
240276,2,9.6875,
237736,2,30.0708,
237736,2,30.0708,
230080,2,26.0,F2
230080,2,26.0,F2
230080,2,26.0,F2
244368,2,13.0,F2
C.A. 33112,2,36.75,
218629,2,13.5,
SC/PARIS 2166,2,13.8625,D38
C.A. 29395,2,10.5,F33
28213,2,13.0,
W./C. 14260,2,10.5,
SC/PARIS 2146,2,13.8625,
244278,2,10.5,
SC/PARIS 2147,2,13.8583,
SC 14888,2,10.5,
239853,2,0.0,
230433,2,26.0,
28665,2,10.5,
SC/PARIS 2131,2,15.05,
237393,2,13.0,
S.O./P.P. 2,2,21.0,
250655,2,26.0,
S.O./P.P. 2,2,21.0,
234604,2,13.0,
250647,2,13.0,
C.A. 34644,2,12.7375,
SC/PARIS 2168,2,15.0333,
26360,2,26.0,
26360,2,26.0,
26360,2,26.0,
C.A. 17248,2,10.5,
31027,2,21.0,
31027,2,21.0,
230434,2,13.0,
SC/PARIS 2133,2,15.0458,
29106,2,18.75,
29106,2,18.75,
29106,2,18.75,
W./C. 14258,2,10.5,
28004,2,10.5,
C.A. 31026,2,10.5,
248659,2,13.0,
244361,2,13.0,
244358,2,26.0,
230433,2,26.0,
250652,2,13.0,
C.A. 33112,2,36.75,
250648,2,13.0,
237442,2,13.5,
234818,2,12.35,
28206,2,10.5,
31418,2,13.0,
C.A. 29178,2,13.0,
237734,2,15.0458,
F.C.C. 13540,2,10.5,
248734,2,13.0,F
220845,2,65.0,
F.C.C. 13531,2,10.5,
233639,2,13.0,
240929,2,12.65,
34218,2,10.5,E101
11668,2,21.0,
11668,2,21.0,
28221,2,13.0,
F.C.C. 13528,2,21.0,
CA 31352,2,21.0,
28666,2,10.5,
CA 31352,2,21.0,
239856,2,0.0,
C.A. 33595,2,15.75,
C.A. 33595,2,15.75,
27267,2,13.0,E101
228414,2,26.0,
228414,2,26.0,
29103,2,23.0,
29103,2,23.0,
29103,2,23.0,
C.A. 34651,2,27.75,
C.A. 34651,2,27.75,
C.A. 34651,2,27.75,
C.A. 34651,2,27.75,
C.A. 24579,2,10.5,
SC/PARIS 2159,2,12.875,
244270,2,13.0,
244373,2,13.0,
220844,2,13.5,
248747,2,13.0,
C.A. 5547,3,7.55,
C.A. 2673,3,20.25,
C.A. 2673,3,20.25,
C.A. 2673,3,20.25,
348125,3,7.65,
348122,3,7.65,F G63
SOTON/O2 3101284,3,7.925,
2657,3,7.2292,
C 7076,3,7.25,
341826,3,8.05,
7546,3,9.475,
392091,3,9.35,
392091,3,9.35,
2699,3,18.7875,
3474,3,7.8875,
SOTON/O2 3101287,3,7.925,
SOTON/O.Q. 3101311,3,7.05,
SOTON/O.Q. 3101312,3,7.05,
373450,3,8.05,
2223,3,8.3,
C 4001,3,22.525,
350046,3,7.8542,
347082,3,31.275,
347082,3,31.275,
